"שם מפלגה","מספר מפלגה","מטרות","כתובת","דואר אלקטרוני","תאריך רישום",
"נצח","59-900095-7","","רח' יואל 4, ירושלים 9526904","netzach613@gmail.com","",
"נתי~ב – נחייה תמיד יחד בכבוד","59-900171-6","א. המפלגה תפעל לשפר לחזק ולטפח את הנכים, הקשישים ואוכלוסיות מוחלשות במדינת ישראל, בארץ ישראל תוך הצבת מנהיגות ישרה ומחויבת שטובת המדינה ואזרחיה, ללא הבדל דת, גזע, מין או מגדר, בראש מעייניה.ב. המפלגה תפעל לשיפור, פיתוח ושדרוג השירותים והטיפול באזרחי המדינה הנכים הקשישים וכלל האוכלוסייה המוחלשת, לצמצום הבירוקרטיה והרגולציה, לרווחת אזרחי ישראל בעלי המוגבלות, אזרחים ותיקים, וכלל האוכלוסייה המוחלשת בכל תחומי החיים: הבריאות, החינוך, הדיור, התחבורה, התשתיות הלאומיות, הרווחה, הבריאות, הביטחון האישי והתעסוקה.ג. המפלגה תפעל לקביעת סדרי עדיפויות בתכנון, במימון ובביצוע, תוך מיצוי מיטבי של המשאבים הלאומיים הקיימים ובקרה על עמידה ביעדים בכל דרגי הביצוע מתוך רצון לאפשר לכלל אוכלוסיית הנכים , קשישים ואוכלוסייה מוחלשת לחיות בכבוד. ד. המפלגה תפעל לטיפוח התרבות, החברה, באופן שוויוני ומייצג, תוך מתן עדיפות בהקצאת משאבים והשקעה באוכלוסיות בעלי מוגבלויות, נכים, קשישים וצעירים נכים ואזרחים מכלל האוכלוסייה המוחלשת.","רחוב המעפילים 69 א', בית אורן (אצל חנה דפנה)","dafhen61@gmail.com","",
"סדר חדש - לשינוי שיטת הבחירות בישראל","59-900138-5","מטרות המפלגה: שינוי שיטת הבחירות בישראל.שמירה על אופיה הדמוקרטי והיהודי של המדינה, תוך שימת דגש על הפרדת רשויות מוחלטת.קידום לפתרון מצוקת הדיור ע~י המדינה באמצעות בניית דירות והשכרתן לטווח ארוך.","מענה של המפלגה: אריאל שרון 4, גבעתיים, אצל עו~ד אביטל אופק.  ","mailto:avitalofek@gmail.com","",
"עוצמה ותקוה לשכונות","59-900055-1","מטרות המפלגה :1.מפלגת עוצמה ותקווה לשכונות רואה בסיוע ובקידום תושבי השכונות במדינת ישראל יעד בעל עדיפות לאומית גבוהה. המפלגה תפעל לשינוי סדרי העדיפויות במדינת ישראל, על מנת להבטיח כי תושבי השכונות יזכו לשיוויון הזדמנויות מהותי, ביחס לשאר תושבי מדינת ישראל.2.המפלגה תפעל להרחבת תשתית החינוך בשכונות ולעידוד פעילויות חינוכיות בשכונות.3.המפלגה תפעל להגדלה משמעותית של הסיוע הניתן למשפחות ברוכות ילדים ולמיעוטי יכולת.4.המפלגה תפעל להעמקת המעורבות של תושבי השכונות בניהול ענייניהם ובכלל זההרחבת תשתית ועדי השכונות וקידום פעילותם של ועדים אלה.5.המפלגה תפעל להגברת פעולות הבינוי בשכונות לרבות הרחבה ופיתוח של תשתית הבניה בשכונות.6.המפלגה תפעל לקידום מעמדן של השכונות ברשויות המקומיות.7.המפלגה תפעל להגברת כח המשיכה של השכונות כאזור מגורים ומחיה ובכלל זה סיוע במציאת פתרונות תעסוקה לתושבי השכונות.8.המפלגה תפעל להעמקת המודעות למעמד האישה בשכונות ולקידומו.","הבושם 39/4 תל אביב 67671","","",
"עלי~ה – עמנו למען ישראל המתחדשת","59-900015-5","מטרות המפלגה :1.המפלגה תפעל לאור החזון הציוני הכולל: זכות בלתי מעורערת של העם היהודי על ארץ ישראל, בטחון המדינה ובטחון אזרחיה. המפלגה תפעל לכינון שלום באזורנו.2.המפלגה, בהכירה במגילת העצמאות של מדינת ישראל, תפעל לקבלת חוקה המבטיחה מבנה דמוקרטי של המדינה, בה יתקבלו חוקי היסוד במשאל עם, תובטח הפרדה מוחלטת של הרשויות (מחוקקת, מבצעת ושיפוטית) תוגבל כהונת הנבחרים בתפקידי ראשי רשויות לשתי כהונות (קדנציות) בלבד.3.המפלגה תפעל למען עידוד כלכלת שוק, יוזמה חופשית, תחרות חופשית כולן מבוססות על יזמות אישית וקולקטיבית, תשאף לביטול מונופוליזציה של ענפי תעשיה ותפעל להפרטת המגזר הממשלתי של הכלכלה.4.המפלגה תפעל לשיפור תנאי שילובם של עולים חדשים בחברה הישראלית ובראש וראשונה לפתרון בעיית דיור ותעסוקה. המפלגה תלחם נגד אפלייתם של האזרחים החדשים בתחום התעסוקה ובתחום הפעילות התרבותית והציבורית וכן תעמוד על משמר הצדק החברתי.","חיפה 31250 ת~ד 25240","dab@012.net.il","",
"עם אחד בראשות עמיר פרץ","59-900043-7","מטרות המפלגה :1.מאבק למען תעסוקה ופרנסה בכבוד.2.מאבק לצמצום הפערים.3.מאבק בלתי מתפשר באבטלה.4.מאבק להבטחת פנסיה לכל אזרח.5.מאבק נגד רמיסת זכויות העובדים ע~י חברות כח אדם.6.מאבק למען זכויות הנשים בעבודה ולשיוויון בהכנסות.7.מאבק לעיגון זכות ההתאגדות והשביתה בחוק יסוד.8.מאבק לחינוך חינם מהגן ועד האוניברסיטה.9.מאבק למען זכויות מערכת בריאות שווינית.10.מאבק למען דיור מכובד לכל אזרח ללא שיעבוד.","בית השואבה 21 ירושלים 92387","","",
"עתיד","59-900033-8","מטרות המפלגה :1.מדינת ישראל היא מדינה דמוקרטית ותקנה שוויון לכל אזרחיה ללא הבדל דת, לאום, גזע ומין.2.עליונות החוק, וחופש האדם והמצפון הם מאבני היסוד של המדינה. לפיכך, תגן המפלגה על זכותו של כל אדם לחיות לפי מצפונו והשקפת עולמו.3.המפלגה תפעל לחיזוק המכנה המשותף והמאחד את אזרחי ישראל לזרמיהם והשקפותיהם למען פלורליזם, סובלנות, כבוד הדדי וכיבוד זכויות היחיד.4.המפלגה תפעל להעמקת הקשר בים עם ישראל לארצו ובין מדינת ישראל לכל יהודי התפוצות.5.המפלגה תפעל למען שלום בין ישראל לשכנותיה, תוך הבטחת בטחון לכלל ולפרט.6.המפלגה תפעל למען העמקת ערכי הציונות, תפעל למען ריכוז עם ישראל במדינתו ותגביר את המאמץ להקל את קשיי הקליטה של העולים לישראל, בין היתר ע~י יצירת מקורות תעסוקה, סיוע לדיור הולם ומתן חינוך ראוי.7.המפלגה תפעל לשילובם ולשיתופם של ערביי מדינת ישראל במערכות השילטון.8.המפלגה תפעל לקידום שכונות המצוקה וערי הפיתוח, הגברת הפיתוח בהם, ותדאג לרווחת תושביהם.9.המפלגה תפעל בתחומיה החברה והכלכלה, תוך סיוע לקבוצות אוכלוסיה ~חלשות~ והפיכת מדינת-ישראל למדינת רווחה נאורה.","שד' שאול המלך 39 תל אביב 64928","","",
"עתיד אחד עתיד טוב לישראל","59-900066-8","מטרות המפלגה :1.איחוד הכוחות בציונות הדתית (העמדת אלטרנטיבה להנהגת המדינה).2.טיפול בשכבות מצוקה בעם ובעניינים חברתיים.3טיפוח מערכת החינוך בישראל. חיזוק החינוך הדתי-לאומי והתורני-לאומי בישראל.4.חיזוק ההתיישבות בכל ארץ ישראל ושקידה על בטחון המדינה.5.החזרת האמון בפוליטיקה הישראלית. שילוב ערכים יהודים ואוניברסליים במערכת הפוליטית.","הרב גורדון 72 קרית יערים 90838  (אצל יחזקאל שטלצר)","CEO2.GYE@gmail.com","",
"עתיד הנגב להכרה ושוויון","59-900172-4","א. ארגון האוכלוסייה הערבית הבדואית בנגב כקבוצה ילידית למען השגת זכויותיה בתחומי התכנון והבנייה, החינוך, הבריאות, הרווחה והכלכלה ושאר תחומי החיים.ב. השגת פתרון צודק והוגן לסוגיית קרקעות הבדואים בנגב.ג. הכרה בכפרים הלא מוכרים בנגב.ד. קידום חזון נגב לכל תושביו.ה. שוויון מלא בין כל האזרחים בישראל.ו. שלום צודק והוגן ובר קיימא המבוסס על שתי מדינות עצמאיות ריבוניות.","רהט, שכונה 9, בית 41 אצל אבו לטיף עזדין","ezelden@tamamgroup.com","",
"פעולה לישראל - המפלגה למימוש זכויות יוצאי ארצות ערב, האיסלאם ואיראן","599001187","מטרות המפלגה:מימוש ויישום של החלטות הממשלה לפיצוי יהודים יוצאי ארצות ערב, האיסלאם, איראן ואחרים.יישום התחייבויות בינלאומיות להקמת קרן בינלאומית לפיצוי יהודים יוצאי ארצות ערב, האיסלאם, איראן ואחרים.קידום הסדר איזורי לאי-לוחמה ומניעת טרור, על בסיס היפרדות ביטחונית, שיהווה בסיס להסדרת נושא הפליטים היהודים מארצות ערב ופליטים פלשתינאים.גיבוש תכנית לאומית כוללת למאבק בעוני, חיזוק אוכלוסיות חלשות, בדגש על פיצוי וסיוע לניצולי שואה ואחרים.","רחוב ביאליק 77, רמת גן","mailto:DNAVYLIOR@GMAIL.COM","",
"פרח – שפע, ברכה, חיים ושלום","59-900105-4"," מטרות המפלגה: 1.   ~שפע~ – אלף מוצרי יסוד בחצי ממחירם, שיהיה ~שפע~ בישראל.2.   ~ברכה~ – להוריד מחירי הדירות, שה~ברכה~ תשרה בכל בית בישראל.3.   ~חיים~ – להכפיל את משכורת החיילים, לשמירת ה~חיים~ של ישראל.4.   ו~שלום~ – החלפת שטחים אדירה למען השלום, ~שלום~ אמת שישמר לאורך שנים.","רחוב בן איש חי 3, בית שמש 9942003","","",
"פשוט אהבה","599001195","מטרות המפלגה:להוות בית פוליטי הרואה בפסיפס האנושי החי בישראל אוצר בלום, מארג עשיר ומופלא של בני אדם בעלי זהויות, שפות, דתות ותרבויות שונות, ובא להציב אלטרנטיבה מנהיגותית אשר תייצג את מגוון הקולות ואת מגוון הצרכים של אזרחי המדינה.לפעול להתנעת משא ומתן ישיר ורצוף עם שכנינו הפלסטינים במטרה להגיע להסכם הוגן ומוסכם על שני הצדדים, תוך הקפדה על שמירת ביטחונם של אזרחי ישראל.לפעול לקידום צדק חברתי-כלכלי, לקדם מדיניות רווחה אשר תיטיב עם אזרחי המדינה, ובראשם הקשישים, הנכים ובעלי מוגבלויות ובני השכבות המוחלשות.מפלגת פשוט אהבה תפעל לקידום מערכת החינוך במדינה, מתוך אמונה כי השקעה בחינוך ובבניית האדם תטיב עם הפרט ותביא לשיפור וחיזוק המצב הסוציו-אקונומי של כלל האזרחים. תוביל את המדינה לפיתוח אקדמי, טכנולוגי וכלכלי ותציב אותה בקדמת המדינות המפותחות.לפעול לטיפוח וחיזוק התחומים שיקדמו את החברה הישראלית בכללותה וישפרו את פניה, כגון חיזוק נוכחות נשים במרכזי קבלת החלטות, קיימות, חינוך, תרבות, כלכלה, בריאות ותחומים נוספים.לפעול לחיזוק המשטר הדמוקרטי, שהוא גולת הכותרת שייחדה עד כה את מדינת ישראל, לרבות מערכת המשפט, תקשורת בלתי תלויה ושמירה על טוהר המידות במנגנוני השלטון ובשירות הציבורי.","מושב בית הלוי 103, מיקוד 42870","mailto:simplylove2019@gmail.com","",
"צבר – מפלגת הצעירים של ישראל","59-900088-2","מטרות המפלגה:1.קידום מנהיגות צעירה. 2.קידום החינוך וההשכלה. 3.קידום פתרונות תעסוקה ועידוד שכירים ועצמאיים. 4.שמירה על איכות הסביבה. 5.העלאת מעמד תלמידי בית הספר, הסטודנטים, המילואימנקים והצעירים בכללותם לראש סדר העדיפות הלאומי6.הפחתת שכר הלימוד לסטודנטים, מתן אפשרות לדיור הולם.7.קידום אומנים ויוצרים צעירים. 8.הפחתת מיסים לצעירים. 9.מתן תמורה הולמת לאנשי המילואים10.מלחמה בתאונות דרכים. 11.דאגה לחינוך חובה חינם.","ויצמן 88, תל אביב 62264","toporovsky@walla.com","",
"צדק חברתי","59-900077-5","מטרות המפלגה :1.מדינת ישראל היא מדינה דמוקרטית ותקנה שוויון לכל אזרחיה ללא הבדל דת, לאום, גזע ומין.2.עליונות החוק, וחופש האדם הם מאבני היסוד של המדינה. לפיכך, תגן המפלגה על זכותו של כל אדם לחיות לפי אמונתו והשקפת עולמו.3המפלגה תפעל לחיזוק המכנה המשותף והמאחד את אזרחי ישראל לאמונותיהם והשקפותיהם למען פלורליזם, סובלנות, כבוד הדדי וכיבוד זכויות היחיד. 4.המפלגה תפעל להעמקת הקשר בין עם ישראל לארצו ובין יהודי התפוצות למדינת ישראל. 5.המפלגה תפעל למען שלום בין ישראל לשכנותיה, תוך הבטחת בטחון לכלל ולפרט.6.המפלגה תפעל למען מתן זכות בחירה לאזרחי ישראל השוהים בחו~ל ושינוי מדיניות הענקת אזרחות אשרות כניסה ודרכונים.","רחוב גבעת דאונס 39, חיפה. מיקוד 3434917 אצל גד הרן","isgad1948@gmail.com","",
"צדק לכל - כי הגיעה העת","59-900107-0","מטרות המפלגה:1.לקדם את זכויות בעלי החיים בחקיקה, באכיפה ובחינוך.2.לחנך את ילדי ישראל לאהבה, לסובלנות, לחמלה ולצדק לכל.3.להגביר את המודעות ליתרונות בצריכת מזון צמחי לעקרונות הצדק הטבעי, הבריאות ואיכות הסביבה.4.לשמור ולקדם את זכויות האדם, באשר הוא.","עמל 48, רעננה 4365924 (אצל עו~ד יעקב כשדי)","kobi@kasdi.co.il","",
"צו השעה לנהגי המוניות הגמלאים והנכים","59-900183-1","א. קידום מעמד נהגי התחבורה הציבורית בישראל.ב. קידום מעמד האזרח הקשיש בישראל וכבודו.ג. קידום השכבות החלשות בעלי מוגבלויות בחברה הישראלית.","רחוב שבט אשר 13, פתח תקוה אצל דוד חי אורי","Uri.dhay@gmail.com","  ט~ז באלול התשפ~ב (12 בספטמבר 2022)",
"צומת – התנועה לציונות מתחדשת","59-900006-4","מטרות המפלגה :1.ארץ ישראל היא ארצו של עם-ישראל ולו הזכות הבלעדית עליה.2.זכותו של עם ישראל על ארץ-ישראל ומשאביה מעוגנת בבסיס מוסרי והיסטורי בלתי מעורער.3.זכותו של עם ישראל לחיות בגבולות ארצו בשלום ובבטחון לנצח נצחים ולנקוט בכל האמצעים על מנת להבטיח את שלומו ואחיזתו בארץ ישראל, למנוע ולהסיר כל איום מבית ומחוץ.4.החוק, הסדר, המשפט, המוסר וטוהר המידות הציבוריים הינם מאושיות מדינת ישראל ותנאי לקיומה ולעוצמתה החברתית והמוסרית.","שמואל הנציב 5 נתניה 42280 ת.ד 7119","","",
"צל~ש – ציונות ליברליות ושיוויון","59-900068-4","מטרות המפלגה :1.לקיים את מדינת ישראל כמדינה יהודית ודמוקרטית.2.לשאוף כי מדינת ישראל תקיים יחסי שלום ושכנות טובה עם מדינות ערב, ולפתור את הסכסוך הישראלי פלסטיני במשא ומתן תוך קביעת גבולות קבע מוסכמים.3.להבטיח כי במדינת ישראל יהיה, לכל אזרחיה ותושביה, שוויון זכויות מדינית וחברתי גמור, בהתאם לערכי מגילת העצמאות.4.לקיים בישראל חופש דת וחופש מדת, חופש המצפון, חירות הביטוי, חינוך ראוי ומערכות חברתיות הולמות.5.להנהיג בישראל משק חופשי וליברלי ולקיים כלכלה חופשית.","לידי נעמה גרילק - משרד רו~ח מישור/אביגיל שיקוביצקי, רח' מצדה 7, מגדלי בסר 4, בני ברק","","",
"צעירים בוערים בראשות הדר מוכתר","59-900178-1","א. ייצוג האינטרסים של הצעירים והנוער בישראל מתוך דאגה לעתידם ולעתיד מדינת ישראל. הכנת תוכנית ל 100 שנה שתתחשב בצמיחת האוכלוסייה, בשינוי האקלים ובשמירה על ערכי הטבע.ב. חקיקת חוק משאל עם להצבעה על הנושאים שבלב המחלוקת בעם. קידום שיח בין קבוצות שונות בחברה הישראלית למיגור הפילוג והשסעים בחברה.ג. הורדת יוקר המחיה על ידי בחינת הגורמים המשפיעים על יוקר המחיה בדגש על התנהלות הממשלה, משטר המיסוי והמונופולים. הכנת תכנית אפקטיבית להילחם בגורמים המשפיעים.ד. פתרון משבר הדיור על ידי הגדלת ההיצע, יצירת חלופות אטרקטיביות לגוש דן, הורדת חסמים ממשלתיים כולל הפחתת המיסוי והוזלה דרמטית של מחירי הקרקע.ה. לייצר פוליטיקה שקופה המטיבה עם אזרחי ישראל – באמצעות סל חוקי שקיפות בכל תהליך חקיקת חוקים לרבות ועדת שרים לענייני חקיקה.ו. לשנות ולהימנע מהחלת חוקים על אזרחי המדינה שאינם חלים על המדינה, מוסדותיה ונבחריה.ז. לתמוך בצרכי האוכלוסייה המבוגרת בישראל מתוך חוב היסטורי והכרת תודה לעצם קיומה של מדינת ישראל.ח. חיזוק מערכת החינוך ומתן דגש לחינוך גילאי לידה עד גיל שלוש אשר משפיע על עתיד האדם הבוגר.ט. פיתוח ועידוד תחבורה ציבורית זולה, אמינה ונוחה המאפשרת להגיע לכל מקום במהירות הגבוהה מנסיעה פרטית.י. תימרוץ, שילוב ויישום טכנולוגיה ישראלית במנגנונים ממשלתיים.","רחוב ביאליק 11, קרית אונו אצל הדר מוכתר","hadarmanor12@gmail.com","ב' באלול התשפ~ב (29 באוגוסט 2022)",
"קדימה","59-900070-0","מטרות המפלגה :קיום מדינת ישראל וערכיה כמדינה יהודית ודמוקרטית, תוך שימת דגש על תחומי חברה, שלום ובטחון, כלכלה ויחסי חוץ.","רחוב ריב~ל 4 קומה 3 תל-אביב 67778 עו~ד חיים כהן","chaimcohen.lawoffice@gmail.com","תאריך רישום ב' באלול התשפ~ב (29 באוגוסט 2022)

",
"קול","59-900148-4","מטרות המפלגה: שמירה על זכויות היסוד של האזרח במדינת ישראל לחופש העיסוק ולחיות בכבוד: הסדרת חוקים אשר יעגנו את מעמדם של העצמאיים, פרילנסרים, פנסיונרים, בני הגיל השלישי, בעלי צרכים יחודיים ועוד, בקבלת הטבות ו/או הקלות במיסים ללא פגיעה בתא המשפחתי, הפחתת מס הדרגתית ופרטיים, התאמת מדרגות מס לבני זוג גרושים או פרודים במשמורת משותפת, הרחבת הזכאות לסבסוד במעונות יום וצהרונים, שיפור השירותים והקטנת עמלות במוסדות פיננסיים וכיו~ב.לפעול למען אוכלוסיות ייחודיות בעלי צרכים מיוחדים: שמירה על כבוד האדם וחירותו, קיצור והקלת ההליכים הבירוקרטיים בטיפול בקשישים סיעודיים, ניצולי שואה, תשושי נפש, הורים לילדים עם צרכים מיוחדים יוכלו לקזז מתשלומי מס הכנסה שלהם כל הוצאה טיפולית אצל מומחה, מרפא בעיסוק טיפול בכל מוסד רפואי בארץ ו/או בחו~ל כולל הוצאות נילוות.עידוד תעסוקה והגברת הצמיחה: עידוד העסקת אזרחי מדינת ישראל ללא הבדלי: מין, מגדר, דת, תוך מתן עדיפות להעסקת אוכלוסיות ייחודיות, בעלי נכויות, גיל שלישי, מתן הטבות למעסיקים ולגופים המעסיקים בכפוף לשילובם בהעסקת אוכלוסיות בעלי צרכים ייחודיים ו/או בעלי נכויות ו/או לגיל הזהב. שוויון חברתי: לפעול לקידום שוויון חברתי לכלל אוכלוסיית אזרחי המדינה, ללא הבדל מגדרי, דת ומין, תוך ראיה של כיבוד חוקי היסוד במדינת ישראל ללא פגיעה בפרטיותו של האזרח. הענקת זכויות שוות ללהטב~ים, ביטול תשלומי הורים למוסדות החינוך, הגדלת קצבת הנכות, שינוי פוליסות הביטוח לנזקקי קצבאות סיעוד. לפעול למען אוכלוסיית הגיל הרך, ילדים ונוער: פעילות חקיקתית בכנסת למיגור תופעות אלימות כנגד קטיני קטינים, ילדים ונוער, התקנת מצלמות אבטחה בפעוטונים, גנים ובתי ספר, ביצוע הכשרות והסמכות מקצועיות לכ~א העוסק בתחום החינוך, פיתוח תוכניות למניעת אלימות ומיגורה, הקלות במיסוי וביטוח לפעוטונים, גנים ולמוסדות חינוך.    ","הנוטרים 9, חולון 58282 (אצל: נועם קולמן)","mykolisrael@gmail.com","",
"קול הנשים","59-900149-2 ","  מטרות המפלגה: מטרות המפלגה מבוססות על ערכים הרואים בשוויון מגדרי כבסיס לקיומה של מדינת ישראל. תמונת המצב במדינת ישראל של שנת 2020 מלמדת כי לא קיים שוויון מגדרי בין נשים לגברים בכלל, בפוליטיקה ובכנסת הישראלית בפרט. בכוונתנו לפעול ליצירת מציאות חדשה של שוויון מגדרי, ולדאוג לנוכחות נשים במרחב הציבורי והובלת שינוי בין השאר בתחומים הבאים:יצוג שוויוני - נפעל להרחבת חוק ייצוג שוויוני במפלגות ורשימות מקומיות, מקומות עבודה, ייצוג הולם באקדמיה, בממשלה, בדירקטוריונים, במוקדי קבלת החלטות ועוד.חקיקה לקידום שוויון בשכר, השקעה בתשתיות למסגרות חינוך של יום לימודים ארוך, ביסוס הגנה משפטית לנשים, יצירת מנגנוני אכיפה בחוק.בניית תוכנית לשוויון מגדרי שתיכנס למערכת החינוך מגיל הגן ועד כיתה י~ב. מיגור תופעת האלימות ורצח נשים, מיגור הדרת נשים במרחבים השונים ועוד.מפלגת ~קול הנשים~ תרוץ בבחירות לכנסת ה- 23 ברשימה המורכבת מנשים בלבד. לאחר בחירות אלו תשוב ותשקול הנהלת המפלגה את הרכב הרשימה , חבריה וחברותיה.","שפרינצק 39, (אזור אצל: מזל שאול)","miflegetnashim@gmail.com","",
"קול הסביבה","59-900036-1","מטרות המפלגה :1.דאגה לאיכות הסביבה, החיים והבריאות של תושבי מדינת ישראל.2.שינוי סדר העדיפויות הלאומית ומתן דגש על תחומי החינוך והחברה.3.יצירת ממשל נקי ואיכותי ואימוץ חוקה לישראל.","רח' האומנים 7 תל אביב 67897","","",
"קמ~ה - קידום מעמד הפרט","59-900144-3","מטרות המפלגה: הגנה על זכויות אדם בסיסיות והגנה על זכות הפרט לחיות את אורח חייו לפי בחירתו החופשית.הקמת גופי פיקוח חיצוניים על הרשויות השונות.קמ~ה תדאג לשינוי שיטת המשפט הישראלי על ידי קיום משפט בעזרת חבר מושבעים.הגבלת סמכויות עובדי רווחה להוציא ילדים מן הבית.","מענה של המפלגה: המלאך בלבן 1, אבו טור ירושלים.","mailto:kama.miflaga@gmail.com","",
"רוח גבית לחינוך","59-900136-9","קידום, הנעה ומינוף של כלל הילדים והנוער בכל רחבי הארץ ובכל חלקי החברה, בנושאים הבאים:צמצום פערים בחינוך בכל רחבי הארץ, וכן בחברה החרדית והערבית.שילוב ילדים עם צרכים מיוחדים, וחיזוק מסגרות החינוך המיוחד.איתור הפוטנציאל בכל תלמיד וקידומו ללא קשר עם מצבו הלימודי.הגדלת המשאבים עבור נוער בסיכון ובמצוקה.מיגור האלימות בחינוך על כל סוגיה וביטוייה.שיפור השכר של כלל אנשי החינוך במיוחד הקדם יסודי, היסודי, מורים בחוזי העסקה ארעיים ועובדי עמותות בחינוך.שיפור תנאי העבודה של כלל המורים כמו פינות ישיבה, חללי עבודה, שעות עבור פיתוח פדגוגי, ועוד.הגדלת ההשקעה בתהליך ההכשרה של הסטודנטים למקצועות החינוך.אימוץ גישות ושיטות ייחודיות ואו חדשניות במספר גדול יותר של בתי ספר כמו אומניות, טבע ודמוקרטים.הגדלת ההשקעה בחינוך לספורט.הגדלת היקף השעות והמשאבים עבור החינוך הערכי, וההשקעה בתנועות הנוער ובמרכזים הקהילתיים/המתנ~סים.הקלה בנטל עלות מימון מטפלת או מעון של משפחות לגילאי 0 – 3.הגדלה של מספר מקומות הלימוד, בפקולטות המבוקשות כמו משפטים, מדעי המחשב, חשבונאות, אדריכלות ועוד.הגדלת היקף המלגות עבור תרומה חברתית בכל המוסדות להשכלה גבוהה, לרבות הישיבות התורניות והסמינרים החרדים.","רחוב שדרות בן ציון 3/23, תל אביב, אצל אדיר זלצר","mailto:rooachgabit@gmail.com","",
"רע~ש – זכויות הגבר במשפחה","59-900027-0","מטרות המפלגה :1.המפלגה תפעל להשוואת הזכויות בין גברים ונשים בנושא דיני המשפחה בישראל.2.שוויון בחינוך, מתן חינוך חינם, הולם ושווה לכל בני הנוער במדינה לרבות חינוך גבוה וחינוך מקצועי.3.הבטחת הכשרה מקצועית ותעסוקה הולמת לכל דורש.4.הבטחת הכנסה ותמורה הוגנת בעבודה לכל אזרחי המדינה ותושביה.5.הבטחת גימלה הוגנת לכל אזרחי המדינה.","הנגב 4 ק~ב חדר 57 תל אביב 66186","yakovschl@walla.com","",
"רעות","59-900176-5","א. אחדות העםב. יציבות השלטוןג. קואליציה רחבה ככל האפשרד. קיום תהליכי שיח וגישור בין הקצוות","דרך הציונות 3, ת~ד 2028, אריאל 4073503 אצל אביב זגלמן","bmyhanhala@gmail.com","2022",
"רפא רק בריאות","59-900166-6","מטרות המפלגה: הצבת הבריאות כערך חשוב ביותר לאזרחי המדינה וגיוס המאמצים והמשאבים הנחוצים כדי  לממש ערך זה הלכה למעשה.שינוי סדר העדיפויות במערכת הבריאות לטובת אזרחי המדינה.סיום המונופול הרפואי לגבי דרכי הטיפול הרפואי.שילוב הרפואה המשלימה כחלק אינטגרלי ממערכת הבריאות בישראל.","רחוב הירדן 23, מושב עין ורד אצל: ד~ר אריה אבני","Refanala10@gmail.com","",
"רצ – התנועה לזכויות האזרח ולשלום","59-900003-1","מטרות המפלגה :1.החתירה לשלום בין ישראל לשכנותיה והפלסטינים.2.מאבק למען זכויות האדם והעובד.3.קידום ערכי הפלורליזם, הדמוקרטיה והסובלנות בחברה הישראלית.","יגיע כפיים  1, תל אביב, ת~ד 20177 תל אביב  6120101","","",
"רשימת האיחוד הערבי","59-900034-6","מטרות המפלגה :1.קידום הציבור הערבי במדינת ישראל.2.הגשמת מטרותיו של הציבור הערבי במדינת ישראל.3.שירות הציבור הערבי והציבור בישראל בכלל.4.הגשמת שלום צודק, שוויון אמיתי וחיי שלום וקידמה של כל בני האדם במדינת ישראל.","ת~ד 3279 טירה 44915","","",
"ש~ס – התאחדות הספרדים העולמית שומרי תורה","59-900007-2","מטרות המפלגה :1.לטפח את ערכיה המסורתיים והיהודים של היהדות הדתית חרדית בישראל.2.המפלגה שואפת לקיום תורה ומצוות בארץ ישראל ע~פ ההלכה.3.המפלגה ממשיכה את דרכם של חכמי ספרד ע~פ מורשת יהדות המזרח בארץ ובגולה.4.המפלגה רואה במועצת חכמי התורה בראשות הראשון לציון (מלפנים) מרן הרב הגאון ר' עובדיה יוסף שליט~א את הסמכות התורנית, ההלכתית, רעיונית ופוליטית העליונה בארץ ישראל.","עם ועולמו 6, ~בית עופר~, גבעת שאול, ת.ד 34263 ירושלים, מיקוד - 9134102","Yehuda@shas.org.il","",
"שחר כוח חברתי","59-900169-0","מטרות המפלגה:1. הקמת כוח חברתי חדש המחויב לעשייה ציבורית שוחרת טוב ולשיח ציבורי אחראי, פתוח ומכבד.2. הבטחת חוסנה הכלכלי והחברתי של מדינת ישראל.3. שינוי סדר העדיפויות הלאומי למען טובת החברה הישראלית, תוך שימת דגש על מגוון רחב של נושאים חברתיים המהווים את בניין הכוח של החברה הישראלית.4. קידום מעמדן של נשים והגדלת הייצוג הנשי במוקדי קבלת החלטות, מתוך הבנה ששווויון לנשים חיוני לחוסנה הכלכלי, החברתי והפוליטי של מדינת ישראל.5. צמצום אי השוויון וחיזוק הפריפריה החברתית והכלכלית6. חתירה לשלום עם שכנינו תוך הקפדה על ביטחון אזרחי המדינה.7. קיום מאבק על דמותה הדמוקרטית של ישראל, תוך כדי שמירה על טוהר המידות של השירות הציבורי.8. שינוי סדרי ושיטות ממשל, למען יצירת משילות ויציבות פוליטית.9. החזרת אמון הציבור בפוליטיקה הישראלית, תוך כדי הצבת המפלגה כמצפן מוסרי פוליטי בנבכי העשייה הישראלית.","רחוב שפרינצק 1, עפולה אצל משרד עו~ד משה גרמה","790080@walla.co.il","",
